division,district,block,cluster,school,week,teachers_registered,baseline_assessments,baseline_average_level,tutoring_calls,endline_assessments,endline_average_level
DHARWAD,VIJAYAPURA,SINDAGI,ASKI,GOVT HPS HALAGUNDAKANAL,2025-02-10/2025-02-16,1,6,0.3333333333333333,24,6,4.0
DHARWAD,VIJAYAPURA,SINDAGI,ASKI,GOVT HPS HALAGUNDAKANAL,2025-02-24/2025-03-02,1,1,0.0,4,1,4.0
DHARWAD,VIJAYAPURA,CHADACHAN,CHADACHAN,GOVT HPS HALALLI,2025-02-17/2025-02-23,1,1,1.0,0,0,
DHARWAD,VIJAYAPURA,CHADACHAN,CHADACHAN,GOVT HPS HALALLI,2025-02-24/2025-03-02,5,7,1.8571428571428572,0,0,
KALABURAGI,KALBURGI,ALAND,KADAGANCHI,GOVT HPS HALEWADI,2025-02-03/2025-02-09,1,1,1.0,0,0,
KALABURAGI,KALBURGI,ALAND,KADAGANCHI,GOVT HPS HALEWADI,2025-02-10/2025-02-16,2,9,0.8888888888888888,10,0,
KALABURAGI,KALBURGI,ALAND,KADAGANCHI,GOVT HPS HALEWADI,2025-02-24/2025-03-02,1,0,,7,1,4.0
KALABURAGI,BIDAR,AURAD,TORNA,GOVT HPS HALHALLI,2025-02-10/2025-02-16,1,4,1.25,6,2,4.0
DHARWAD,BAGALKOT,JAMAKHANDI,TERDAL EAST,GOVT HPS HALINGALI TOTA,2025-02-17/2025-02-23,3,10,0.9,4,0,
DHARWAD,BAGALKOT,JAMAKHANDI,TERDAL EAST,GOVT HPS HALINGALI TOTA,2025-02-24/2025-03-02,3,12,1.3333333333333333,16,0,
KALABURAGI,BIDAR,BIDAR,HALADKERI,GOVT HPS HALLADKERI (K),2025-02-03/2025-02-09,2,5,1.8,6,2,2.5
KALABURAGI,BIDAR,BIDAR,HALADKERI,GOVT HPS HALLADKERI (K),2025-02-10/2025-02-16,2,0,,3,2,4.0
KALABURAGI,BIDAR,BASAVAKALYAN,CHANDIKAPUR,GOVT HPS HALLI,2025-02-17/2025-02-23,1,1,4.0,0,0,
KALABURAGI,BIDAR,BASAVAKALYAN,CHANDIKAPUR,GOVT HPS HALLI,2025-02-24/2025-03-02,1,1,3.0,0,0,
DHARWAD,VIJAYAPURA,MUDDEBIHAL,DHAVALAGI,GOVT HPS HALLUR,2025-01-27/2025-02-02,1,0,,0,0,
DHARWAD,VIJAYAPURA,MUDDEBIHAL,DHAVALAGI,GOVT HPS HALLUR,2025-02-10/2025-02-16,1,0,,9,1,3.0
KALABURAGI,KALBURGI,SEDAM,UDAGI,GOVT HPS HANAGANALLI,2025-02-03/2025-02-09,2,6,0.8333333333333334,0,0,
DHARWAD,BAGALKOT,JAMAKHANDI,RABAKAVI,GOVT HPS HANAGANDI,2025-02-17/2025-02-23,3,10,1.0,24,6,4.0
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,KAMBAGI,GOVT HPS HANAMASAGAR,2025-02-17/2025-02-23,2,3,2.3333333333333335,2,0,
DHARWAD,VIJAYAPURA,BIJAPUR RURAL,KAMBAGI,GOVT HPS HANAMASAGAR,2025-02-24/2025-03-02,1,2,1.0,13,3,4.0
DHARWAD,VIJAYAPURA,SINDAGI,KONDAGULI,GOVT HPS HANCHALI,2025-02-24/2025-03-02,1,0,,0,0,
